id,name,commander,capital_only,hp,prot,mr,mor,str,att,def,prec,enc,mapmove,ap,size,ressize,basecost,rcost,reclimit,rt,leader,undeadleader,magicleader,startage,maxage,F,A,W,E,S,D,N,G,B,H,rand1,nbr1,link1,mask1,rand2,nbr2,link2,mask2,rand3,nbr3,link3,mask3,rand4,nbr4,link4,mask4,wpn1,wpn2,wpn3,wpn4,wpn5,wpn6,wpn7,armor1,armor2,armor3,armor4,resources,mountmnr,reinvigoration,awe,fear,berserk,darkvision,heat,cold,poisonres,fireres,coldres,shockres,slashres,bluntres,pierceres,acidres,regeneration,iceprot,invulnerable,fireshield,banefireshield,standard,inspirational,taskmaster,beastmaster,bodyguard,supplybonus,patrolbonus,pillagebonus,siegebonus,researchbonus,castledef,stealthy,taxcollector,alch,forgebonus,nametype,keywords
56,Royal Forester,True,False,12,0,10,11,10,11,11,13,3,14,12,3,3,10020,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,23,,,,,15,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,55,,,,,"forestsurvival, stealthy"
57,Knight of Man,False,False,12,0,10,13,12,12,12,10,3,14,12,3,3,10017,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,18,21,3,,,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Longbowman,False,False,11,0,10,10,12,10,10,12,3,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,,,,,,5,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Monk,True,False,9,0,13,9,9,8,8,10,4,14,10,3,3,9990,1,,1,10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,"holy, stealthy"
61,Spearman,False,False,10,0,10,10,10,10,10,10,3,16,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Longspear,False,False,10,0,10,10,10,10,10,10,3,16,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,7,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Tower Guard,False,False,11,0,10,11,10,11,11,10,3,16,12,3,3,10012,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
64,Knight of Avalon,False,True,16,0,13,14,12,12,13,10,3,14,12,3,3,10020,1,,1,50,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,18,21,3,,,3900,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, forestsurvival"
65,Warden of Avalon,False,True,17,0,13,14,13,13,12,10,3,18,14,3,3,10020,1,,1,50,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,40,,,,,"holy, forestsurvival, stealthy, truesight, bodyguard"
66,Guardian,False,True,14,0,9,14,12,12,10,10,2,14,12,3,3,10020,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
67,Infantry of Ulm,False,False,12,0,9,10,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,216,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Black Plate Infantry,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Black Knight,False,False,15,0,9,14,13,12,12,10,3,14,12,3,3,10025,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,215,218,221,,,3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Black Lord,True,False,17,0,9,16,14,13,12,10,3,14,12,3,3,10025,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,215,218,221,,,3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Infantry of Ulm,False,False,12,0,9,10,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,216,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Black Plate Infantry,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Infantry of Ulm,False,False,12,0,9,10,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,216,219,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Black Plate Infantry,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,215,218,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Infantry of Ulm,False,False,12,0,9,10,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,216,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Black Plate Infantry,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Infantry of Ulm,False,False,12,0,9,10,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,216,219,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Black Plate Infantry,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,215,218,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Pikeneer,False,False,12,0,9,11,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,216,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Black Plate Pikeneer,False,False,12,0,9,12,11,10,10,10,2,14,12,3,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Abysian Infantry,False,False,15,0,12,11,13,10,9,7,2,12,11,3,3,10020,1,,1,50,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,14,20,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,wastesurvival
82,Abysian Infantry,False,False,15,0,12,11,13,10,9,7,2,12,11,3,3,10020,1,,1,50,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,14,20,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,wastesurvival
83,Abysian Infantry,False,False,15,0,12,11,13,10,9,7,2,12,11,3,3,10020,1,,1,50,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,14,20,4,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,wastesurvival
84,Abysian Infantry,False,False,15,0,12,11,13,10,9,7,2,12,11,3,3,10020,1,,1,50,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,14,20,4,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,wastesurvival
85,Anathemant Salamander,True,False,14,0,15,13,13,10,9,9,2,12,9,3,3,10020,1,,1,50,10,,,35,2,,,,,,,,,2,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, wastesurvival"
86,Anathemant Dragon,True,False,13,0,17,13,13,11,10,10,2,12,9,3,3,10020,1,,2,50,10,,,35,3,,,1,,,,,,3,10,1,1,35968,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, wastesurvival"
87,Demonbred,True,True,17,6,17,14,14,11,9,7,2,18,8,4,3,10030,1,,2,100,50,,55,250,2,,,,,,,,2,2,,,,,,,,,,,,,,,,,29,29,,,,,,,,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, wastesurvival, flying"
89,Warlock,True,True,15,0,15,11,13,11,10,9,2,12,9,3,3,10020,1,,1,10,10,,,35,,,,,2,,,,3,,100,1,1,35968,10,1,1,35968,,,,,,,,,9,,,,,,,,,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"wastesurvival, crossbreeder"
90,Lava Warrior,False,True,17,0,12,14,14,11,9,10,2,12,11,3,3,10025,1,,1,50,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,14,118,,,,,,,,3,50,3,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, wastesurvival, formationfighter, firepower"
92,Cloud Mage,True,False,10,0,13,10,10,8,8,11,3,14,10,3,3,10010,1,,1,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Wind Master,True,False,9,0,15,12,9,8,8,12,4,14,9,3,3,10010,1,,1,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"flying, stormimmune"
94,Conjurer,True,False,10,0,14,10,10,8,8,10,3,14,10,3,3,10010,1,,1,10,50,50,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Circle Master,True,False,9,0,16,12,9,7,7,9,4,14,9,3,3,10010,1,,1,10,50,50,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Azure Initiate,True,False,10,0,13,10,10,8,8,10,3,14,10,3,3,10010,1,,1,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amphibian, waterbreathing"
97,Azure Mage,True,False,9,0,15,12,9,8,8,10,4,14,10,3,3,10010,1,,1,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amphibian, waterbreathing"
98,Pyromancer,True,False,10,0,13,11,10,8,8,10,3,14,10,3,3,10010,1,,1,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Adept of Pyriphlegeton,True,False,10,0,15,13,10,9,9,10,3,14,10,3,3,10010,1,,2,10,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Adept of the Silver Order,True,False,9,0,16,12,8,8,8,12,3,14,8,3,3,10010,1,,2,10,,50,,,,2,,,2,,,,,,100,1,1,3456,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
101,Adept of the Golden Order,True,False,10,0,16,13,8,8,8,10,3,14,8,3,3,10010,1,,2,10,,50,,,2,,,,2,,,,,,100,1,1,3456,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
102,Initiate of the Deep,True,False,10,0,13,12,8,7,7,9,3,14,10,3,3,10010,1,,1,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pooramphibian
103,Hydromancer,True,False,8,0,15,10,9,8,8,10,4,12,8,3,3,10010,1,,2,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphibian
104,Deep Seer,True,True,8,0,16,13,9,8,8,10,3,10,8,3,3,10010,1,,1,50,,,,,,,3,,2,,,,,1,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, amphibian, waterbreathing"
105,Woodhenge Druid,True,False,9,0,15,12,9,8,8,10,3,14,9,3,3,10050,1,,1,10,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,"holy, forestsurvival, stealthy"
106,Shadow Seer,True,False,9,0,18,12,9,8,8,10,3,14,8,3,3,10010,1,,2,50,,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,"magicbeing, stealthy, neednoteat, ethereal, voidsanity"
107,Atlantian Light Infantry,False,False,12,2,10,10,11,10,9,8,3,12,10,3,3,10010,1,,1,50,,,22,500,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,22,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amphibian, poisonarmor"
108,Coral Guard,False,False,14,2,10,13,12,11,10,8,2,12,10,3,3,10015,1,,1,50,,,27,500,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,23,24,25,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amphibian, poisonarmor"
110,Atlantian Militia,False,False,12,2,10,8,11,8,8,8,4,12,10,3,3,10007,1,,1,50,,,22,500,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphibian
111,Atlantian Shield Bearer,False,False,12,2,10,10,11,10,9,8,3,12,10,3,3,10010,1,,1,50,,,22,500,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,25,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphibian
112,Coral Queen,True,False,31,10,15,14,18,12,8,8,3,16,12,6,6,10040,1,,2,200,,,275,500,,,,,,,,,,3,,,,,,,,,,,,,,,,,32,,,,,,,22,24,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"holy, female, amphibian, poisonarmor"
113,Lord Guardian,True,True,16,0,10,16,13,13,11,10,2,14,12,3,3,10020,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,,,,,,,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,haltheretic
114,Commander of Ulm,True,False,14,0,9,12,11,11,11,10,2,14,12,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,216,219,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Commander of Ulm,True,False,14,0,9,12,11,11,11,10,2,14,12,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,215,218,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Commander of Ulm,True,False,14,0,9,12,11,11,11,10,2,14,12,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,216,219,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Commander of Ulm,True,False,14,0,9,12,11,11,11,10,2,14,12,3,3,10010,1,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,215,218,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Warlord,True,False,19,0,12,13,15,12,10,7,2,12,12,4,4,10020,1,,1,100,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,,14,118,,,,,,,,,50,3,,,25,,,,,,,,,,,,,,2,,,,,,,,,,,,,,"wastesurvival, taskmaster"
122,Bloodhenge Druid,True,False,9,0,15,12,9,8,8,10,3,14,9,3,3,10030,1,,1,10,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forestsurvival
127,Blizzard Warrior,False,True,9,0,11,10,9,10,9,12,4,20,9,4,3,10015,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,35,,,,,,52,,,,,,,,,,,,,,,15,,,,,,,1,,,,,,,,,,,,,,,,,,,,"flying, stormimmune"
128,Spire Horn Archer,False,False,9,0,11,10,9,10,9,12,4,20,9,4,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,35,,,,,,10,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,"flying, stormimmune"
129,Spire Horn Militia,False,False,10,0,11,8,10,8,7,11,4,20,9,4,3,10008,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,,,,,,,10,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,flying
130,Airya Light Infantry,False,False,9,0,12,10,9,10,9,11,4,20,9,4,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,52,2,,,,,,,,,,,,,,15,,,,,,,1,,,,,,,,,,,,,,,,,,,,flying
131,Spire Horn Warrior,False,False,10,0,11,10,10,10,9,11,4,20,9,4,3,10010,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,10,2,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,"flying, stormimmune"
132,Iceclad,False,False,9,0,12,12,9,11,10,11,4,20,9,4,3,10015,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,27,124,28,,,,,,,,,,,,,15,,,,,,,2,,,,,,,,,,,,,,,,,,,,flying
133,Man at Arms,False,False,11,0,10,12,10,11,11,10,3,14,12,3,3,10014,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,13,118,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,bodyguard
134,Royal Guard,False,False,12,0,10,14,11,12,12,10,3,14,12,3,3,10020,1,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,,,19,21,3,,,3897,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,bodyguard
