id,name,chassis_value
137,Horse Tribe Cavalry,11.6
138,Gorgon,54.48
139,Barbarian,8.43
140,Barbarian,8.43
141,Barbarian Chief,12.8
142,Huskarl,8.28
143,Huskarl,9.2
144,Hirdman,9.67
145,Hirdman,8.7
146,Einhere,13.86
147,Barbarian Lord,16.47
148,Friar,15.69
149,Inquisitor,26.31
150,Elephant Rider,5.1
151,Daughter of Avalon,17.07
152,Mother of Avalon,20.07
153,Crone of Avalon,41.07
154,Witch,17.07
155,Velite,9.2
156,Cyclops,164.1
157,Mother of Monsters,100.8
158,Oracle,20.4
159,Monument,246.6
160,High Priest of C'tis,24.6
161,Sauromancer,26.28
162,Lizard Lord,16.56
163,Commander of C'tis,12.47
164,Swamp Guard,21.12
165,C'tissian Heavy Infantry,7.33
166,City Guard,7.33
167,C'tissian Light Infantry,8.8
168,Militia,5.0
169,Taskmaster,11.29
170,Lizard Shaman,30.55
171,Slave Warrior,8.8
172,Elite Warrior,11.44
173,Runner,8.8
174,Triton,7.67
175,Triton Guard,7.67
176,Triton,6.9
177,Lizard King,51.15
178,Lich,42.24
179,Master Lich,43.8
180,Demilich,16.6
181,Wraith Lord,116.8
182,Wraith Lord,118.56
183,Wraith King,134.82
184,Knight of the Unholy Sepulchre,22.72
185,Bane,33.07
186,Longdead Velite,8.12
187,Longdead Legionnaire,8.12
188,Mound King,9.33
189,Longdead Horseman,6.77
190,Mound King,8.4
191,Longdead,6.09
192,Longdead,6.09
193,Longdead,6.09
194,Longdead,6.09
195,Longdead,6.77
196,Longdead,6.77
197,Soulless,5.0
198,Ghoul,8.7
199,Cardaces,7.67
200,Charioteer,7.67
201,Peltast,9.2
202,Caelian Seraph,15.78
203,High Seraph,30.78
204,Seraphine,16.5
205,Raptor,8.67
206,Shambler,14.98
207,Shambler Chief,14.98
208,War Shambler,20.27
209,Mother Guard,40.23
210,Giant Lobster,31.88
211,Lobster Rider,10.27
212,Lord Warden,41.58
213,Salamander,18.36
214,Beast Trainer,16.8
215,Virtue,57.6
216,Dragon,368.41
217,Flagellant,14.1
218,Crossbowman,8.28
219,Swordsman,7.67
220,Halberdier,7.67
221,Pikeneer,8.43
222,High Inquisitor,35.1
223,Grand Master,55.5
224,Witch Hunter,34.5
225,Initiate,9.9
226,Arch Mage,18.67
227,Satyr Sneak,8.8
228,Satyr,10.56
229,Satyr,8.8
230,Satyr Hoplite,15.6
231,Centaur Hierophant,56.22
232,Centaur Commander,26.24
233,Centaur Cataphract,24.32
234,Minotaur,17.57
235,War Minotaur,19.27
236,Minotaur Lord,24.0
237,Dryad,32.7
238,Pan,43.2
239,Harpy,5.0
240,Priest,12.45
241,High Priest,19.26
242,Hiereia,17.07
243,Crab Hybrid,22.52
244,Arch Mage,13.67
245,Master Enchanter,13.67
246,Freak Lord,12.6
247,Freak,30.75
248,Arch Mage,13.67
249,Crone,10.67
250,Frost Father,19.0
251,Great Sage,12.67
252,Harab Seraph,5.4
253,Dusk Elder,90.9
254,Spectator,63.48
255,Wailing Lady,93.72
256,Acolyte of Eldregate,41.7
257,Bishop of Eldregate,53.16
258,Arch Bishop of Eldregate,64.92
259,Lictor,43.0
260,Censor,49.07
261,Valkyrie,27.13
262,Van,31.24
263,Vanherse,48.84
264,Vanjarl,62.45
265,Dragon,368.41
266,Dragon,368.41
267,Frost Father,18.67
268,Master Enchanter,18.67
269,Wyrm,282.76
270,Arch Druid,12.67
271,Burgmeister Guard,6.72
272,Hoburg Champion,9.12
273,Hoburg Crossbow,6.55
274,Jotun Jarl,62.25
275,Jotun Gode,57.3
276,Jotun Javelinist,21.17
277,Jotun Bondi,13.2
278,Jotun Spearman,19.6
279,Jotun Axeman,17.64
280,Seithkona,10.35
281,Norna,24.3
282,Wolf Rider,5.1
283,Chief,6.9
284,Wolf,8.37
285,Spearman,7.67
286,Maceman,6.9
287,Swordsman,6.9
288,Heavy Crossbowman,8.28
289,Pikeneer,8.43
290,Crossbowman,8.28
291,Captain,8.7
292,Heavy Cavalry,9.2
293,Captain,10.44
294,Nerid,76.86
295,Sacred Serpent,34.56
296,Hydra Tamer,18.79
297,Warrior Illusion,7.8
298,Wolf Illusion,7.8
299,Wight Mage,37.0
300,Jotun Hurler,14.36
301,Astrologer,19.5
302,Wizard of High Magics,6.67
303,Imp,11.07
304,Devil,57.2
305,Arch Devil,138.0
306,Ice Devil,185.93
307,Lesser Horror,91.67
308,Horror,458.52
309,Ice Druid,32.67
310,Necromancer,12.3
311,Mystic,6.3
312,Wizard of High Magics,6.3
313,Manikin,5.0
314,Mandragora,23.8
315,Soulless Giant,5.0
316,Longdead Giant,11.6
317,Soulless,5.0
318,Soulless Deep One,5.0
319,Soulless of C'tis,5.0
320,Grand Saurolich,46.35
321,Lizard Shaman,51.55
322,King of the Deep,41.4
323,Dwarven Smith,17.1
324,Dwarf Elder,28.0
325,Master Smith,22.63
326,Blood Slave,5.0
327,Anathemant,25.92
328,Lizard King,35.49
329,Spectral Mage,57.48
330,Dark Vines,67.56
331,Illithid,13.0
332,Starspawn,25.54
333,Starspawn,54.12
334,Golden Naga,100.8
335,Slave Trooper,5.87
336,Slave Guardian,5.87
337,Lobo Guard,6.27
338,Dreamwood Enchanter,15.3
339,Sorcerer,9.67
340,Crystal Mage,21.3
341,Illusionist,12.3
342,Moon Mage,15.3
343,Sorceress,21.67
344,Black Sorceress,18.67
345,Gnome,26.76
346,Crystal Sorceress,9.96
347,Crystal Priestess,19.92
348,Amazon,10.44
349,Garnet Sorceress,11.67
350,Garnet Priestess,22.67
351,Amazon,11.67
352,Jade Sorceress,10.03
353,Jade Priestess,25.43
354,Amazon,9.67
355,Onyx Sorceress,9.67
356,Onyx Priestess,26.67
357,Amazon,9.67
358,Temple Guard,21.3
359,Queen of the Sea,110.49
360,Undine,14.76
361,Vine Man,12.64
362,Vine Ogre,40.32
363,Whisperwood Enchantress,15.67
364,Faydream Enchantress,12.3
365,Centaur Charioteer,7.67
366,Eternal Knight,41.6
367,Pegasus Rider,25.5
368,Gryphon - XXX,67.07
369,Nightmare Rider,22.67
370,Jade Maiden,22.67
371,Hero,25.26
372,Humanbred,5.13
373,Coral Prince,63.93
374,Queen Mother,45.54
375,Jotun Jarl,59.25
376,Green Knight,54.55
377,Hero,28.0
378,Hero,26.0
379,Lizard Hero,19.8
380,Lizard Hero,28.08
381,Heroine,32.63
382,Mystic,5.0
383,Prince of Death,84.0
384,Neter of Crafts,88.27
385,Neteret of Joy,83.28
386,Neter of the Sun,105.6
387,Neteret of Many Names,78.0
388,Neter of Chaos,85.27
389,Fire Lord,27.24
390,Grey Knight,38.72
391,Grey Lord,48.0
392,Ashen Angel,95.93
393,Lammashta,40.2
394,Lamia,32.83
395,Lich Queen,32.28
396,Revenant,10.2
397,Black Serpent,47.28
398,Mummy,24.42
399,Werewolf,40.95
400,Skinshifter,10.96
401,Bitch Queen,60.87
402,Crone,18.99
403,Horned Serpent,26.22
404,Vampire Lord,52.92
405,Vampire,11.55
406,Triton Commander,8.43
407,Illithid Soldier,13.54
408,Deer Carcass,6.3
409,Skeletal Wolf,6.96
410,Giant Rat,9.36
411,Gnome,26.76
412,Commoner,5.0
414,Wingless,8.7
415,High Seraph,16.67
416,Seraphine,16.8
417,Crossbowman,9.11
418,Storm General,11.4
419,Mammoth Rider,6.9
420,Airya Infantry,5.4
421,Storm Guard,8.67
422,Herse,11.48
423,Lizard Warrior,11.44
424,Meteorite Guard,11.2
425,Shambler Thrall,17.34
426,Scout,6.12
427,Spy,6.9
428,Assassin,16.92
429,Slayer,23.87
430,Black Harpy,5.51
431,Scout,9.2
432,Scout,7.26
433,Bone Fiend,20.3
434,Shadow Servant,26.88
435,Maenad,8.7
436,Jotun Jarl,63.75
437,Jotun Herse,50.37
438,Kraken,50.8
439,Mound Fiend,86.4
440,Paladin,38.52
441,Consort,47.4
442,Shade Beast,19.14
443,Star Child,12.5
444,Traitor Prince,22.8
445,Illithid Lord,18.75
446,Lord of the Plague Wind,225.52
447,Troglodyte,33.81
448,False Horror,18.0
449,Frost Fiend,40.12
450,Horse Brother,11.6
451,Horse Brother,15.4
452,Behemoth,47.25
453,Foul Spawn,6.34
454,Foul Spawn,7.2
455,Foul Spawn,7.2
456,Foul Spawn,15.76
457,Foul Spawn,9.6
458,Foul Spawn,7.45
459,Foul Spawn,11.4
460,Foul Spawn,6.12
461,Foul Spawn,11.52
463,Fay Boar,18.06
464,Harbinger,91.15
465,Arch Angel,137.9
466,Cockatrice,18.66
467,Foul Beast,67.08
468,Foul Spawn,14.36
469,King of Mountains,185.11
470,Father Illearth,180.81
471,Golem,41.43
472,Statue of Order,35.1
473,Telestic Animate,30.67
474,Living Statue,35.72
475,Crusher,143.1
476,Lumber Construct,54.24
477,Adept of the Iron Order,19.65
478,Sage,5.0
479,Lore Master,5.0
480,Magus,11.97
481,High Magus,23.97
482,Villain,5.0
483,Hoburg Militia,5.0
484,Caelian Scout,5.4
485,Great Enchantress,8.1
486,Great Warlock,19.8
487,Chimera,59.46
488,Ettin,58.27
489,Demon Knight,39.0
490,Jinn,263.16
491,Harvester of Sorrows,120.66
492,Heliophagus,107.98
499,Nataraja,126.5
500,Skratti,35.0
501,Allfather,94.87
502,Empoisoner,18.24
503,Poison Slinger,5.0
504,Falchioneer,12.24
505,Hero,24.18
506,Hero,20.53
507,Heroine,25.44
508,Wolf Lord,17.23
509,Arch Seraph,10.8
510,Hierodule,16.5
511,Winter Wolf,34.06
512,Fall Bear,56.02
513,Spring Hawk,29.87
514,Kithaironic Lion,38.88
515,Summer Lion,95.26
516,Pandemoniac,43.2
517,Black Hawk,5.0
518,Troll,29.55
519,Troll King,72.7
520,Wyvern,44.35
521,Abomination,402.58
522,Cave Drake,64.26
523,Fire Drake,22.57
524,Scorpion Beast,64.15
525,Couatl,79.2
526,Serpent Fiend,24.96
527,Will o' the Wisp,30.96
528,Corpse Candle,33.6
529,Sea Father,29.67
530,Foul Spawn,85.6
531,Iron Dragon,402.88
532,Mechanical Man,18.23
533,Wight,25.2
534,Corpse Construct,5.61
535,Longdead Archer,7.31
536,Longdead Buccaneer,6.09
537,Forgotten King,39.3
538,Theurg Communicant,12.3
539,Rage Lord,43.74
540,White Minotaur,64.33
541,Vaetti,5.1
542,Stone Monstra,169.61
543,Angel XXX,37.7
544,Einhere,22.46
545,Shark Knight,15.2
546,Void Lurker,7.92
547,Dead One,5.0
548,Hoburg Hero,13.44
549,Boar,5.0
550,Master Alchemist,11.7
551,Alchemist,14.1
552,Animist,18.67
553,Jotun Skratti,70.07
554,Ermorian Cultist,15.3
555,Arch Censor,80.53
556,Sacred One,24.3
557,Harab Seraphine,33.0
558,Seer King,73.2
559,Sleeper,43.92
560,Stargazer,88.03
561,Earth Gnome,15.66
562,Sylph,26.4
563,Queen of Storms,156.38
564,Sea Troll,33.85
565,Sea Serpent,110.16
566,Ghost,45.9
573,Amber Clan Guard,9.9
574,Amber Clan Triton,9.9
575,Amber Clan Mage,17.91
576,Amber Clan Priest,21.81
577,Triton Trooper,7.67
578,Bog Beast,21.17
579,Ice Drake,32.4
580,Sea King,88.69
581,Anathemant Warlock,77.76
582,Blind One,59.07
583,Cardinal,48.69
584,Patriarch,87.3
585,Guild Master,49.8
586,Great Hag,98.4
587,Hierophant,42.3
588,Heroine,32.63
589,Witch Hunter General,57.45
590,Vanadrott,100.37
591,Dragonfly,7.95
592,Sprite,10.62
593,Draconian,42.77
600,Titan of War and Wisdom,141.77
601,Devi of Fortunes,69.81
602,Titan of Heaven,91.2
603,Teotl of Rain,102.6
604,Teotl of the Night,112.8
605,Son of Niefel,118.5
606,Great Mother,122.87
607,Baphomet,31.0
608,Phoenix,36.36
609,Lamia Queen,43.4
610,Serpent Queen,92.37
611,Black Bull,56.73
612,Gryphon Rider,24.67
613,Longdead Admiral,21.24
614,Harpy Queen,29.23
615,Longdead of C'tis,7.73
616,Longdead of C'tis,7.73
617,Longdead of C'tis,7.73
618,Longdead Warrior,9.28
619,Longdead Warrior,9.28
620,Draconian Chief,66.96
621,Treelord,133.53
622,Traitor King,68.4
623,King of the World,658.8
624,Old King,60.12
625,Mummy,20.4
626,Fallen Angel,139.23
627,Faery Queen,52.38
628,Great Lion,24.3
629,Stalker,36.0
630,Elludian Moon Mage,21.6
631,King of Flames,167.88
632,Storm Demon,46.44
633,Werewolf,38.43
634,Handmaiden of Death,74.6
635,Ancient Shaman,45.55
636,Basilisk,18.9
637,Draco Lion,82.53
638,Spine Devil,33.05
639,Kraken King,95.02
640,Magma Child,22.1
641,Ancient Mandragora,189.85
642,Giant Lobster,31.88
643,Bog Mummy,56.63
644,Dracolich,308.12
645,Bog Mummy,59.63
646,Troll Raider,81.2
647,Dark Knight,38.88
648,Troll Archer,65.06
649,Troll Mage,55.61
650,Warrior Mage,29.55
651,Eater of Dreams,2716.86
652,Void Lord,137.79
653,Serpent King,15.21
654,Serpent King,29.32
655,Scorpion King,178.76
656,Fountain of Blood,42.0
657,Monolith,82.5
658,Bard,9.9
659,Grotesque,73.21
660,Aboleth,134.76
661,Shedu,189.6
662,Velite,9.2
663,Alae Legionnaire,9.2
664,Hastatus,8.28
665,Principe,10.44
666,Triarius,16.54
667,Praetorian Guard,15.51
668,Standard,8.28
669,Thaumaturg,31.74
670,Grand Thaumaturg,57.3
671,Centurion,9.57
672,Spectral Velite,18.72
673,Spectral Hastatus,20.8
674,Dispossessed Spirit,5.0
675,Shadow Soldier,14.7
676,Shade,19.2
677,Apparition,23.22
678,Lemur Centurion,60.6
679,Lemur Consul,125.82
680,Lemur Senator,100.14
681,Shadow Tribune,29.88
682,Spectral Standard,24.12
683,Centurion,9.57
684,Velite,9.2
685,Alae Legionnaire,9.2
686,Hastatus,8.28
687,Principe,10.44
688,Triarius,16.54
689,Standard,8.28
690,Grave Consort,44.58
691,Tomb Priest,57.0
692,Tomb King,114.8
693,Tomb Wyrm,51.84
694,Great Bear,22.5
695,Beast Illusion,18.14
696,Knight Illusion,11.52
697,Satyr Hoplite,15.6
698,Centaur Cataphract,22.8
699,Cataphract Commander,24.6
700,Minotaur Soldier,19.73
701,Minotaur Commander,26.07
702,Grove Guard,24.37
703,Keeper of Traditions,48.6
704,Dryad Hoplite,30.07
705,Dryad,26.7
706,Pan,43.2
707,Centaur Warrior,22.4
708,Reveler,17.76
709,Panic Apostate,43.2
710,Carrion Lord,128.45
711,Carrion Lady,42.53
712,Satyr Manikin,8.84
713,Harpy Manikin,5.0
714,Carrion Centaur,49.75
715,Carrion Wolf,7.2
716,Carrion Boar,5.0
717,Carrion Horse,5.0
718,Carrion Bear,10.92
719,Carrion Beast,30.24
720,Slave,5.0
721,Warrior,9.2
722,Warrior,9.2
723,Warrior,9.2
724,Warrior,8.28
725,Sun Warrior,26.93
726,Eagle Warrior,25.96
727,Jaguar Warrior,21.63
728,Were Jaguar,45.96
729,Scout,9.2
730,Tribal King,29.92
731,Mictlan Priest,21.9
732,Priest King,55.4
733,Rain Priest,42.9
734,Moon Priest,42.9
735,High Priest of the Sun,62.7
736,Ether Warrior,49.07
737,Ether Lord,85.93
738,Black Templar,34.08
739,Black Acolyte,16.53
740,Black Priest,27.03
741,Giant Mummy,51.8
742,Giant Mummy,43.29
743,Mummy,23.31
744,Diabolist,10.59
745,Goetic Master,33.69
746,Strategos,14.52
747,Heart Companion,28.64
748,Master Mason,5.0
749,Sapper,9.11
750,Thing From Beyond,74.03
751,Thing That Should Not Be,161.62
752,Elder Thing,19.58
753,Thing From The Void,79.8
754,Greater Otherness,77.17
755,Otherness,40.82
756,Lesser Otherness,17.94
757,Vile Thing,25.49
758,Thing Of Many Eyes,22.32
759,Dweller-In-The-Deep,43.2
760,Siege Golem,288.46
761,Serpent Priest,35.1
762,Vastness,463.21
763,Serpent Cataphract,23.83
764,Serpent XXX,59.62
765,Serpent Lord,32.0
766,Royal Tomb Chariot,33.93
767,Royal Chariot,48.45
768,Watcher,5.0
769,White Centaur,54.53
770,White Satyr,46.28
771,Tartarian Cyclops,200.23
772,Tartarian Cyclops,174.36
773,Tartarian Spirit,205.27
774,Tartarian Titan,184.0
775,Tartarian Titan,128.7
776,Tartarian Monstrum,312.8
777,Tartarian Monstra,201.24
778,Divine Mummy,145.26
779,Rams-Headed Serpent,181.27
780,Lord of the Hunt,147.67
781,Juggernaut,252.68
782,Giant Spider,14.43
783,Serpent Dancer,23.33
784,Garmhirding,59.2
785,Gygja,23.4
786,Jotun Scout,40.48
787,Black Centaur,54.53
788,Horseman,8.62
789,Heavy Horseman,8.62
790,Imperial Horseman,11.6
791,Red Guard,33.88
792,General,21.65
793,Prince General,36.52
794,Footman,8.43
795,Footman,7.67
796,Footman,7.67
797,Archer,5.0
798,Imperial Guard,11.4
799,Imperial Footman,9.67
800,Imperial Footman,9.67
801,Imperial Archer,8.28
802,Imperial Crossbowman,8.28
803,Celestial Master,42.3
804,Minister of Rituals,21.3
805,Eunuch,5.0
806,Master of the Dead,19.28
807,Ceremonial Master,14.07
808,Master of the Way,17.07
809,Shadow Vestal,31.8
810,Lord of Hell,271.98
811,Succubus,37.2
812,Lord of the Wild,117.84
813,Imperial Consort,5.0
814,Fire Snake,34.68
815,Small Shark,8.46
816,Shark,28.35
817,Clayman,12.6
818,Heliophagus,143.3
819,Heliophagus,134.64
820,Heliophagus,113.98
821,Ice Devil,157.94
822,Ice Devil,182.57
823,Ice Devil,117.29
824,Ice Devil,173.49
825,Ice Devil,191.49
826,Arch Devil,131.09
827,Arch Devil,131.09
828,Arch Devil,126.4
829,Arch Devil,148.32
830,Serpent Acolyte,18.3
837,Huskarl,8.28
838,Huskarl,9.2
839,Herse,9.57
840,Jotun Huskarl,26.4
841,Godihuskarl,36.8
842,Jotun Hirdman,33.12
843,Shade Lord,29.95
844,Niefel Jarl,155.7
845,Niefel Giant,102.96
846,Galderman,17.1
847,Hangadrott,78.72
848,Sidhe Lord,65.16
849,Daoine Sidhe,31.24
850,Sidhe Champion,44.86
851,Cu Sidhe,31.92
852,Werewolf,40.95
853,Skinshifter,10.96
854,Werewolf,40.95
855,Valkyrie,27.13
856,Tuatha,80.16
857,Smoking Mirror,23.76
858,Jaguar,43.88
859,Jaguar,37.8
860,Feathered Warrior,10.44
861,Ettin Mandragora,240.38
862,Vampire Queen,27.99
863,Apostatic Warrior,69.72
864,First King,163.5
865,Pontifex Serpentus,61.54
866,Hero,37.27
867,Slayer,37.26
868,Scythe Wielder,57.3
869,Navigator,11.1
870,Captain,8.7
871,Pirate,6.9
872,Ghost King,92.52
873,Great Seer of the Deeps,12.67
874,Divine Emperor,13.44
875,Warrior Mage,13.68
876,Spider Warrior,15.05
877,Bane Spider,22.01
878,Machaka Militia,5.0
879,Machaka Archer,5.0
880,Machaka Warrior,9.2
881,Machaka Chief,9.67
882,Machaka Hoplite,10.63
883,Machaka Commander,14.12
884,Great Spider,36.78
885,Spider Rider,9.2
886,Spider Knight,10.63
887,Spider Lord,12.83
888,Hunter Spider,126.84
889,Black Hunter,31.24
890,Voice of the Hunters,38.52
891,Spider Sorceress,19.8
892,Witch Doctor,16.67
893,Sorcerer,25.67
894,Black Sorcerer,30.9
895,Ear of the Lord,23.7
896,Eye of the Lord,26.83
897,Voice of the Lord,24.9
898,Great Spider,36.78
899,Hunter Spider,92.28
900,Lord of Corruption,152.46
901,Black Dryad,35.7
902,Celestial Soldier,74.4
903,Celestial Servant,60.61
904,Demon of Heavenly Rivers,49.0
905,Jade Emperor,66.6
906,King of Deeper Earth,169.53
907,Queen of the Deeps,110.49
908,Queen of the Lake,198.74
909,King of Banefires,163.99
910,King of Magma,170.88
911,Queen of Thunder,203.2
912,Queen of Clouds,146.25
913,Vaetti Hag,5.0
914,Soulless Warrior,5.0
915,Soulless Warrior,5.0
916,Soulless Warrior,6.48
917,Soulless Warrior,6.48
918,Soulless Warrior,5.0
919,Soulless Warrior,5.0
920,Soulless Warrior,5.0
921,Soulless Warrior,5.0
922,Soulless Warrior,5.0
923,Warlock Apprentice,22.8
924,Iron Pig,20.41
925,Tarrasque,712.37
926,Demon of Heavenly Fires,47.74
927,Noble,12.54
928,Heavy Footman,7.67
929,Heavy Footman,7.67
930,Khan,27.07
931,Ivy King,72.43
932,Woodland Spirit,25.08
933,King of Legends,100.2
934,Feathered Serpent,106.2
935,Priest King,97.56
936,Eagle Priest,63.96
937,Marshmaster,27.6
938,Barbarian Horseman,12.76
939,Barbarian Heavy Horseman,15.31
940,Master of the Five Elements,32.1
941,Celestial Master,42.3
942,Immortal,26.04
943,Immortal,76.06
944,Master With The Iron Crutch,55.83
945,Shade King,59.4
946,Lady of Spiders,58.67
947,Great Spider,80.45
948,Vanadrott,72.72
949,Raven Guard,15.05
950,Völva,12.3
951,Harab Seraph,8.16
952,Hero,16.4
953,King Triumphant,42.75
954,Son of Titans,22.23
955,Asynja,96.42
956,Mother of Tuathas,90.33
957,Lord of The Desert Sun,128.6
958,Colossal Head,77.1
959,Pocket Knight,125.01
960,Pocket Lich,51.21
961,Titan of the Sea,88.77
962,Madman,5.0
963,Mad Priest,16.28
964,Lord of Fertility,85.33
965,Lord of Fertility,90.0
966,Formless Spawn,86.8
967,Hybrid,7.2
968,Hybrid,7.2
969,Hybrid,7.2
970,Hybrid,10.56
971,Hybrid Trooper,10.56
972,Hybrid Soldier,8.8
973,Ancient Kraken,336.32
974,Ichtyid,11.32
975,Ichtyid Warrior,8.23
976,Ichtyid Lord,11.67
977,Grand Thaumaturg,62.67
978,Great Black Bull,234.1
979,Great White Bull,231.72
980,Treelord,133.53
981,Dying Treelord,100.6
982,Clockwork Horror,19.28
983,Humanbred,5.0
984,Abysian Light Infantry,7.33
985,Abysian Light Infantry,6.6
986,Abysian Heavy Infantry,6.6
987,Abysian Heavy Infantry,6.6
988,Abysian Heavy Infantry,7.33
989,Abysian Heavy Infantry,7.33
990,Guardian of the Pyre,28.08
991,Newt,21.0
992,Abysian Commander,10.4
993,Slave of Belphegor,7.67
994,Eater of the Dead,90.9
995,Eater of the Dead,154.01
996,Eater of the Dead,237.17
997,Unfettered,353.03
998,Bane Lord,60.67
999,Wizard of the Crescent Moon,15.3
1000,Demon Jester,20.12
1001,Asmeg,19.35
1002,Asmeg Jarl,52.8
1003,Harab Elder,42.69
1004,Caelian Seraph,14.16
1005,Minotaur Manikin,7.3
1006,Carrion Behemoth,54.3
1007,Mad Deep One,5.28
1008,Fanatic Deep One,17.97
1009,Holy Deep One,19.17
1010,Svartalf,27.72
1011,Fortune Teller,5.0
1012,Member of the Second Tier,15.3
1013,Pikeneer,9.28
1014,Halberdier,8.43
1015,Infantry of Ulm,7.59
1016,Commander of Ulm,7.59
1017,Ranger of Ulm,9.11
1018,Ranger Captain,9.11
1019,Vampire Count,32.76
1020,Ghoul Guardian,13.87
1021,Ghoul Baron,23.47
1022,Thrall,5.67
1023,Illuminated One,6.3
1024,Member of the Third Tier,39.3
1025,Divine Glyph,14.0
1026,Carrion Dragon,741.75
1027,Carrion Lord,42.95
1028,Wolfherd,9.2
1029,Captain,8.7
1030,Admiral,14.52
1031,Chartmaker,9.9
1032,Royal Navigator,15.9
1033,Missionary,16.5
1034,Zweihander,10.63
1035,Blood Marshal,42.33
1036,Sauromancer,37.8
1037,War Troll,37.04
1038,Capricorn,72.67
1039,Capricorn,58.2
1040,Bishop Fish,31.87
1041,Ichtysatyr,9.17
1042,Ichtysatyr,9.17
1043,Ichtysatyr Soldier,9.17
1044,Ichtysatyr Soldier,9.17
1045,Mermidon,17.2
1046,Merman,11.0
1047,Merman,9.63
1048,Wave Warrior,10.0
1049,Wave Warrior,9.0
1050,Merman Scout,12.1
1051,Merman Scout,12.1
1052,Wave Lord,14.52
1053,Wave Lord,13.31
1054,Siren,31.2
1055,Siren,28.2
1056,Pelagian Militia,5.0
1057,Pelagian Soldier,10.8
1058,Hippocampus,15.91
1059,Knight of the Deeps,32.5
1060,Triton Knight,14.4
1061,Triton Prince,33.8
1062,Sea Stag,10.08
1063,Leocampus,35.77
1064,Sea Dog,12.96
